REPORTE NAV: FIR_CRV_PENDIENTES		-		FECHA,2023-01-20
Id, Aeropuerto, Sistema, Mes, Archivos, Año
1,CRV,ILS,7,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
2,CRV,ILS,12,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
3,CRV,VOR,2,Falta entregar: DME VOR PARAMETROS,2022
4,CRV,VOR,7,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2022
5,CRV,VOR,12,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2022
6,CRV,VOR,1-12,Falta entregar: 1 FOLIO/S VOR PARAMETROS II (trimestrales),2022
7,DRY,VOR,1,Falta entregar: VOR PARAMETROS I-DME VOR PARAMETROS,2022
8,DRY,VOR,2,Falta entregar: VOR PARAMETROS I-DME VOR PARAMETROS,2022
9,DRY,VOR,3,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2022
10,DRY,VOR,4,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2022
11,DRY,VOR,5,Falta entregar: VOR PARAMETROS I-DME VOR PARAMETROS,2022
12,DRY,VOR,6,Falta entregar: VOR PARAMETROS I-DME VOR PARAMETROS,2022
13,DRY,VOR,7,Falta entregar: VOR PARAMETROS I-DME VOR PARAMETROS,2022
14,DRY,VOR,8,Falta entregar: VOR PARAMETROS I-DME VOR PARAMETROS,2022
15,DRY,VOR,12,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2022
16,DRY,VOR,1-12,Falta entregar: 3 FOLIO/S VOR PARAMETROS II (trimestrales),2022
17,ECA,ILS,1,Falta entregar: DME ILS PARAMETROS-ILS PARAMETROS,2022
18,ECA,ILS,2,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
19,ECA,ILS,3,Falta entregar: DME ILS PARAMETROS-ILS PARAMETROS,2022
20,ECA,ILS,4,Falta entregar: DME ILS PARAMETROS-ILS PARAMETROS,2022
21,ECA,ILS,5,Falta entregar: DME ILS PARAMETROS-ILS PARAMETROS,2022
22,ECA,ILS,6,Falta entregar: DME ILS PARAMETROS-ILS PARAMETROS,2022
23,ECA,ILS,7,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
24,ECA,ILS,8,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
25,ECA,ILS,11,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
26,ECA,ILS,12,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
27,ECA,VOR,7,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2022
28,ECA,VOR,8,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2022
29,ECA,VOR,11,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2022
30,ECA,VOR,12,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2022
31,ECA,VOR,1-12,Falta entregar: 1 FOLIO/S VOR PARAMETROS II (trimestrales),2022
32,ESQ,ILS,8,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
33,ESQ,ILS,9,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
34,ESQ,ILS,12,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
35,ESQ,VOR,1,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2022
36,ESQ,VOR,2,Falta entregar: VOR PARAMETROS I-DME VOR PARAMETROS,2022
37,ESQ,VOR,3,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2022
38,ESQ,VOR,4,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2022
