REPORTE NAV: FIR_EZE_PENDIENTES		-		FECHA,2023-01-23
Id, Aeropuerto, Sistema, Mes, Archivos, Año
1,AEP,ILS,1,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
2,AEP,ILS,1,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
3,AEP,ILS,1,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
4,AEP,ILS,1,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
5,AEP,ILS,1,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
6,AEP,ILS,1,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
7,AEP,ILS,1,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
8,AEP,ILS,2,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
9,AEP,ILS,3,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
10,BAR,ILS,3,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
11,BAR,VOR,1,Falta entregar: VOR PARAMETROS I-DME VOR PARAMETROS,2022
12,BAR,VOR,2,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2022
13,BAR,VOR,3,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2022
14,BCA,ILS,1,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
15,BCA,ILS,1,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
16,BCA,ILS,1,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
17,BCA,ILS,1,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
18,BCA,ILS,1,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
19,BCA,ILS,1,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
20,BCA,ILS,1,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
21,BCA,ILS,1,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
22,BCA,ILS,1,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
23,BCA,ILS,1,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
24,BCA,ILS,1,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
25,BCA,ILS,2,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
26,BCA,ILS,3,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
27,BCA,VOR,3,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2022
28,BCA,VOR,1,Falta entregar: VOR PARAMETROS I-DME VOR PARAMETROS,2022
29,BCA,VOR,4,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2022
30,BCA,VOR,4,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2022
31,BCA,VOR,4,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2022
32,BCA,VOR,4,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2022
33,BCA,VOR,4,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2022
34,BCA,VOR,4,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2022
35,BCA,VOR,4,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2022
36,BCA,VOR,4,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2022
37,BCA,VOR,4,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2022
38,BCA,VOR,4,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2022
39,BCA,VOR,4,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2022
