REPORTE NAV: FIR_EZE_PENDIENTES		-		FECHA,2023-04-26
Id, Aeropuerto, Sistema, Mes, Archivos, Año
1,AEP,ILS,1,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2023
2,AEP,ILS,2,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2023
3,AEP,ILS,3,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2023
4,BAR,ILS,1,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2023
5,BAR,ILS,2,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2023
6,BAR,ILS,3,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2023
7,BAR,VOR,1,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
8,BAR,VOR,2,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
9,BAR,VOR,3,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
10,BCA,ILS,1,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2023
11,BCA,ILS,2,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2023
12,BCA,ILS,3,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2023
13,BCA,VOR,1,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
14,BCA,VOR,2,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
15,BCA,VOR,3,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
16,CHP,VOR,1,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
17,CHP,VOR,2,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
18,CHP,VOR,3,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
19,DIL,ILS,1,Falta entregar: LH,2023
20,DIL,ILS,2,Falta entregar: LH,2023
21,DIL,ILS,3,Falta entregar: LH,2023
22,DIL,VOR,1,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
23,DIL,VOR,2,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
24,DIL,VOR,3,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
25,EZE RWY 11 29,ILS,1,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2023
26,EZE RWY 11 29,ILS,2,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2023
27,EZE RWY 11 29,ILS,3,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2023
28,EZE RWY 17 35,ILS,1,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2023
29,EZE RWY 17 35,ILS,2,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2023
30,EZE RWY 17 35,ILS,3,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2023
31,EZE VOR,VOR,1,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
32,EZE VOR,VOR,2,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
33,EZE VOR,VOR,3,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
34,FDO,ILS,1,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2023
35,FDO,ILS,2,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2023
36,FDO,ILS,3,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2023
37,FDO,VOR,1,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
38,FDO,VOR,2,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
39,FDO,VOR,3,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
40,GBE,VOR,1,Falta entregar: LH-VOR PARAMETROS I,2023
41,GBE,VOR,2,Falta entregar: LH-VOR PARAMETROS I,2023
42,GBE,VOR,3,Falta entregar: LH-VOR PARAMETROS I,2023
43,GPI,LI,1,Falta entregar: LH-LI PARAMETROS,2023
44,GPI,LI,2,Falta entregar: LH-LI PARAMETROS,2023
45,GPI,LI,3,Falta entregar: LI PARAMETROS,2023
46,GPI,VOR,1,Falta entregar: LH-VOR PARAMETROS I,2023
47,GPI,VOR,2,Falta entregar: LH-VOR PARAMETROS I,2023
48,GPI,VOR,3,Falta entregar: VOR PARAMETROS I,2023
49,GUA,VOR,1,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
50,GUA,VOR,2,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
51,GUA,VOR,3,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
52,LYE,VOR,1,Falta entregar: LH-VOR PARAMETROS I,2023
53,LYE,VOR,2,Falta entregar: LH-VOR PARAMETROS I,2023
54,LYE,VOR,3,Falta entregar: LH-VOR PARAMETROS I,2023
55,MDP,ILS,1,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2023
56,MDP,ILS,2,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2023
57,MDP,ILS,3,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2023
58,MDP,VOR,1,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
59,MDP,VOR,2,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
60,MDP,VOR,3,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
61,NEU,VOR,1,Falta entregar: VOR PARAMETROS I-DME VOR PARAMETROS,2023
62,NEU,VOR,2,Falta entregar: VOR PARAMETROS I-DME VOR PARAMETROS,2023
63,NEU,VOR,3,Falta entregar: VOR PARAMETROS I-DME VOR PARAMETROS,2023
64,NIN,VOR,1,Falta entregar: LH-VOR PARAMETROS I,2023
65,NIN,VOR,2,Falta entregar: LH-VOR PARAMETROS I,2023
66,NIN,VOR,3,Falta entregar: LH-VOR PARAMETROS I,2023
67,OEL,VOR,1,Falta entregar: DME VOR PARAMETROS,2023
68,OEL,VOR,2,Falta entregar: VOR PARAMETROS I-DME VOR PARAMETROS,2023
69,OEL,VOR,3,Falta entregar: VOR PARAMETROS I-DME VOR PARAMETROS,2023
70,OSA,ILS,1,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2023
71,OSA,ILS,2,Falta entregar: DME ILS PARAMETROS,2023
72,OSA,ILS,3,Falta entregar: DME ILS PARAMETROS-ILS PARAMETROS,2023
73,OSA,VOR,1,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
74,OSA,VOR,2,Falta entregar: VOR PARAMETROS I-DME VOR PARAMETROS,2023
75,OSA,VOR,3,Falta entregar: VOR PARAMETROS I-DME VOR PARAMETROS,2023
76,PAL,ILS,1,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2023
77,PAL,ILS,2,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2023
78,PAL,ILS,3,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2023
79,PAL,VOR,1,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
80,PAL,VOR,2,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
81,PAL,VOR,3,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
82,PAR,ILS,1,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2023
83,PAR,ILS,2,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2023
84,PAR,ILS,3,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2023
85,PAR,VOR,1,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
86,PAR,VOR,2,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
87,PAR,VOR,3,Falta entregar: LH-VOR PARAMETROS I-DME VOR PARAMETROS,2023
88,PTA,VOR,1,Falta entregar: LH-VOR PARAMETROS I,2023
89,PTA,VOR,2,Falta entregar: LH-VOR PARAMETROS I,2023
90,PTA,VOR,3,Falta entregar: LH-VOR PARAMETROS I,2023
91,ROS,ILS,1,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2023
92,ROS,ILS,2,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2023
