REPORTE NAV: FIR_EZE_PENDIENTES		-		FECHA,2023-03-29
Id, Aeropuerto, Sistema, Mes, Archivos, Año
1,AEP,ILS,2,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
2,AEP,ILS,3,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
3,AEP,ILS,4,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
4,AEP,ILS,5,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
5,AEP,ILS,6,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
6,AEP,ILS,7,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
7,AEP,ILS,10,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
8,AEP,ILS,11,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
9,AEP,ILS,12,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
10,BAR,ILS,3,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
11,BAR,ILS,4,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
12,BAR,ILS,5,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
13,BAR,ILS,6,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
14,BAR,ILS,7,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
15,BAR,ILS,8,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
16,BAR,ILS,9,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
17,BAR,ILS,10,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
18,BAR,ILS,11,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
19,BAR,ILS,12,Falta entregar: LH-DME ILS PARAMETROS-ILS PARAMETROS,2022
