REPORTE NAV: REGISTROS EXISTENTES		-		FECHA,2023-03-29
Id, Aeropuerto, Sistema, Mes, Archivos, Año
1,AEP,ILS,2022.01.21 AER DME ILS PARAMETROS 11.tif,2022,EZE
2,AEP,ILS,2022.01.21 AER ILS LH13.tif,2022,EZE
3,AEP,ILS,2022.01.21 AER ILS PARAMETROS 12.tif,2022,EZE
4,AEP,ILS,2022.08.10 AER ILS LH24.tif,2022,EZE
5,AEP,ILS,2022.08.12 AER DME ILS PARAMETROS 17.tif,2022,EZE
6,AEP,ILS,2022.08.12 AER ILS PARAMETROS 19.tif,2022,EZE
7,AEP,ILS,2022.09.06 AER DME ILS PARAMETROS 19.tif,2022,EZE
8,AEP,ILS,2022.09.06 AER ILS LH26.tif,2022,EZE
9,AEP,ILS,2022.09.06 AER ILS PARAMETROS 20.tif,2022,EZE
10,BAR,ILS,2022.01.17 BAR ILS LH08.pdf,2022,EZE
11,BAR,ILS,2022.01.25 BAR DME ILS PARAMETROS 07.pdf,2022,EZE
12,BAR,ILS,2022.01.25 BAR ILS LH09.pdf,2022,EZE
13,BAR,ILS,2022.01.25 BAR ILS PARAMETROS 07.pdf,2022,EZE
14,BAR,ILS,2022.02.01 BAR DME ILS PARAMETROS F-S POR INSTALACION.txt,2022,EZE
15,BAR,ILS,2022.02.01 BAR ILS LH F-S POR INSTALACION.txt,2022,EZE
16,BAR,ILS,2022.02.01 BAR ILS PARAMETROS F-S POR INSTALACION.txt,2022,EZE
17,BAR,VOR,2022.01.29 BAR VOR LH18.pdf,2022,EZE
18,BCA,ILS,2022.01.09 BCA ILS GP LH18.pdf,2022,EZE
19,BCA,ILS,2022.01.09 BCA ILS LOC LH17.pdf,2022,EZE
20,BCA,ILS,2022.01.14 BCA ILS GP LH19.pdf,2022,EZE
21,BCA,ILS,2022.01.14 BCA ILS LOC LH18.pdf,2022,EZE
22,BCA,ILS,2022.01.24 BCA DME ILS LH11.pdf,2022,EZE
23,BCA,ILS,2022.01.24 BCA ILS GP LH20.pdf,2022,EZE
24,BCA,ILS,2022.01.24 BCA ILS LOC LH19.pdf,2022,EZE
25,BCA,ILS,2022.01.24 BCA ILS PARAMETROS 11.pdf,2022,EZE
26,BCA,ILS,2022.04.07 BCA ILS GP DME LH25.pdf,2022,EZE
27,BCA,ILS,2022.04.07 BCA ILS LH24.pdf,2022,EZE
28,BCA,ILS,2022.04.28 BCA DME ILS PARAMETROS 14.pdf,2022,EZE
29,BCA,ILS,2022.04.28 BCA ILS GP DME LH26.pdf,2022,EZE
30,BCA,ILS,2022.04.28 BCA ILS LOC LH25.pdf,2022,EZE
31,BCA,ILS,2022.04.28 BCA ILS PARAMETROS 15.pdf,2022,EZE
32,BCA,ILS,2022.06.10 BCA ILS LH28.pdf,2022,EZE
33,BCA,ILS,2022.06.10 BCA ILS LH29.pdf,2022,EZE
34,BCA,ILS,2022.06.27 BCA DME ILS PARAMETROS 16.pdf,2022,EZE
35,BCA,ILS,2022.06.27 BCA ILS LH29.pdf,2022,EZE
36,BCA,ILS,2022.06.27 BCA ILS LH30.pdf,2022,EZE
37,BCA,ILS,2022.06.27 BCA ILS PARAMETROS 17.pdf,2022,EZE
38,BCA,VOR,2022.01.09 BCA DME VOR PARAMETROS 07.pdf,2022,EZE
39,BCA,VOR,2022.01.09 BCA VOR LH12.pdf,2022,EZE
40,BCA,VOR,2022.01.09 BCA VOR PARAMETROS I 07.pdf,2022,EZE
41,BCA,VOR,2022.01.14 BCA VOR LH14.pdf,2022,EZE
42,BCA,VOR,2022.01.19 BCA DME VOR PARAMETROS 08.pdf,2022,EZE
43,BCA,VOR,2022.01.19 BCA VOR LH13.pdf,2022,EZE
44,BCA,VOR,2022.01.19 BCA VOR PARAMETROS I 08.pdf,2022,EZE
45,BCA,VOR,2022.02.03 BCA VOR LH16.pdf,2022,EZE
46,BCA,VOR,2022.02.21 BCA DME VOR PARAMETROS 09.pdf,2022,EZE
47,BCA,VOR,2022.02.21 BCA VOR LH15.pdf,2022,EZE
48,BCA,VOR,2022.02.21 BCA VOR PARAMETROS I 09.pdf,2022,EZE
49,BCA,VOR,2022.03.10 BCA VOR LH17.pdf,2022,EZE
50,BCA,VOR,2022.03.23 BCA DME VOR PARAMETROS 10.pdf,2022,EZE
51,BCA,VOR,2022.03.23 BCA VOR LH18.pdf,2022,EZE
52,BCA,VOR,2022.03.23 BCA VOR PARAMETROS I 10.pdf,2022,EZE
53,BCA,VOR,2022.04.07 BCA VOR LH19.pdf,2022,EZE
54,BCA,VOR,2022.04.28 BCA DME VOR PARAMETROS 11.pdf,2022,EZE
55,BCA,VOR,2022.04.28 BCA VOR LH20.pdf,2022,EZE
56,BCA,VOR,2022.04.28 BCA VOR PARAMETROS I 11.pdf,2022,EZE
57,BCA,VOR,2022.04.28 BCA VOR PARAMETROS II 03.pdf,2022,EZE
58,BCA,VOR,2022.05.06 BCA VOR LH21.pdf,2022,EZE
59,BCA,VOR,2022.05.30 BCA DME VOR PARAMETROS 12.pdf,2022,EZE
60,BCA,VOR,2022.05.30 BCA VOR LH22.pdf,2022,EZE
61,BCA,VOR,2022.05.30 BCA VOR PARAMETROS I 12.pdf,2022,EZE
62,BCA,VOR,2022.06.10 BCA VOR LH24.pdf,2022,EZE
63,BCA,VOR,2022.06.25 BCA DME VOR PARAMETROS 13.pdf,2022,EZE
64,BCA,VOR,2022.06.25 BCA VOR LH23.pdf,2022,EZE
65,BCA,VOR,2022.06.25 BCA VOR PARAMETROS I 13.pdf,2022,EZE
66,BCA,VOR,2022.06.25 BCA VOR PARAMETROS II 04.pdf,2022,EZE
67,BCA,VOR,2022.07.27 BCA DME VOR PARAMETROS 14.pdf,2022,EZE
68,BCA,VOR,2022.07.27 BCA VOR LH25.pdf,2022,EZE
69,BCA,VOR,2022.07.27 BCA VOR PARAMETROS I 14.pdf,2022,EZE
70,CAT,VOR,2022.01.31 CAT VOR LH16.pdf,2022,CBA
71,CAT,VOR,2022.01.31 CAT VOR PARAMETROS I 08.pdf,2022,CBA
72,CAT,VOR,2022.03.01 CAT VOR LH17.pdf,2022,CBA
73,CAT,VOR,2022.03.01 CAT VOR PARAMETROS I 09.pdf,2022,CBA
74,CAT,VOR,2022.04.27 CAT VOR LH19.pdf,2022,CBA
75,CAT,VOR,2022.04.27 CAT VOR PARAMETROS I 11.pdf,2022,CBA
76,CAT,VOR,2022.05.31 CAT VOR LH20.pdf,2022,CBA
77,CAT,VOR,2022.05.31 CAT VOR PARAMETROS I 12.pdf,2022,CBA
78,CAT,VOR,2022.06.28 CAT VOR LH21.pdf,2022,CBA
79,CAT,VOR,2022.06.28 CAT VOR PARAMETROS I 13.pdf,2022,CBA
80,CAT,VOR,2022.07.30 CAT VOR LH22.pdf,2022,CBA
81,CAT,VOR,2022.07.30 CAT VOR PARAMETROS I 14.pdf,2022,CBA
82,CAT,VOR,2022.08.19 CAT VOR LH23.pdf,2022,CBA
83,CAT,VOR,2022.09.28 CAT VOR LH26.pdf,2022,CBA
84,CAT,VOR,2022.09.28 CAT VOR PARAMETROS I 16.pdf,2022,CBA
85,CAT,VOR,2022.10.01 CAT VOR CHECK LIST MENSUAL.pdf,2022,CBA
86,CAT,VOR,2022.10.28 CAT VOR LH27.pdf,2022,CBA
87,CAT,VOR,2022.11.29 CAT VOR LH28.pdf,2022,CBA
88,CAT,VOR,2022.11.29 CAT VOR PARAMETROS I 19.pdf,2022,CBA
89,CAT,VOR,2022.12.29 CAT VOR LH29.pdf,2022,CBA
90,CBA,ILS,2022.01.04 CBA DME ILS PARAMETROS 11.jpg,2022,CBA
91,CBA,ILS,2022.01.04 CBA ILS LH11.jpg,2022,CBA
92,CBA,ILS,2022.01.04 CBA ILS PARAMETROS 10.jpg,2022,CBA
93,CBA,ILS,2022.02.06 CBA ILS LH14.jpg,2022,CBA
94,CBA,ILS,2022.02.07 CBA DME ILS PARAMETROS 11.jpg,2022,CBA
95,CBA,ILS,2022.02.07 CBA ILS LH15.jpg,2022,CBA
96,CBA,ILS,2022.02.07 CBA ILS PARAMETROS 11.jpg,2022,CBA
97,CBA,ILS,2022.03.08 CBA DME ILS PARAMETROS 12.JPG,2022,CBA
98,CBA,ILS,2022.03.08 CBA ILS LH16.JPG,2022,CBA
99,CBA,ILS,2022.03.08 CBA ILS PARAMETROS 12.JPG,2022,CBA
100,CBA,ILS,2022.04.12 CBA DME ILS PARAMETROS 13.jpg,2022,CBA
101,CBA,ILS,2022.04.12 CBA ILS LH17.jpg,2022,CBA
102,CBA,ILS,2022.04.12 CBA ILS PARAMETROS 13.pdf,2022,CBA
103,CBA,ILS,2022.05.06 CBA DME ILS PARAMETROS 14.JPG,2022,CBA
104,CBA,ILS,2022.05.06 CBA ILS LH18.JPG,2022,CBA
105,CBA,ILS,2022.05.06 CBA ILS PARAMETROS 14.pdf,2022,CBA
106,CBA,ILS,2022.06.09 CBA DME ILS PARAMETROS 15.JPG,2022,CBA
107,CBA,ILS,2022.06.09 CBA ILS LH19.JPG,2022,CBA
108,CBA,ILS,2022.06.09 CBA ILS PARAMETROS 15.JPG,2022,CBA
109,CBA,ILS,2022.07 CBA ILS PARAMETROS 16.jpg,2022,CBA
110,CBA,ILS,2022.07.19 CBA DME ILS PARAMETROS 16.jpg,2022,CBA
111,CBA,ILS,2022.07.19 CBA ILS LH20.jpg,2022,CBA
112,CBA,ILS,2022.08.23 CBA DME ILS PARAMETROS 17.pdf,2022,CBA
113,CBA,ILS,2022.08.23 CBA ILS PARAMETROS 17.pdf,2022,CBA
114,CBA,ILS,2022.09.20 CBA DME ILS PARAMETROS 18.jpg,2022,CBA
115,CBA,ILS,2022.09.29 CBA ILS LH22.jpg,2022,CBA
116,CBA,ILS,2022.09.29 CBA ILS PARAMETROS 18.jpg,2022,CBA
117,CBA,ILS,2022.09.29 CBA ILS PARAMETROS 18.pdf,2022,CBA
118,CBA,ILS,2022.10.29 CBA DME ILS PARAMETROS 19.pdf,2022,CBA
119,CBA,ILS,2022.10.29 CBA ILS PARAMETROS 19.pdf,2022,CBA
120,CBA,ILS,2022.11.29 CBA DME ILS PARAMETROS 20.jpg,2022,CBA
121,CBA,ILS,2022.11.29 CBA ILS LH24.jpg,2022,CBA
122,CBA,ILS,2022.11.29 CBA ILS PARAMETROS 20.jpg,2022,CBA
123,CBA,ILS,2022.12.20 CBA DME ILS PARAMETROS 21.pdf,2022,CBA
124,CBA,ILS,2022.12.20 CBA ILS PARAMETROS 21.pdf,2022,CBA
125,CBA,LI,2022.01.19 CBA LI LH724.jpg,2022,CBA
126,CBA,LI,2022.01.19 CBA LI PARAMETROS 10.jpg,2022,CBA
127,CBA,LI,2022.02.24 CBA LI LH275.jpg,2022,CBA
128,CBA,LI,2022.02.24 CBA LI PARAMETROS 11.jpg,2022,CBA
129,CBA,LI,2022.03.08 CBA LI LH726.JPG,2022,CBA
130,CBA,LI,2022.03.08 CBA LI PARAMETROS 12.JPG,2022,CBA
131,CBA,LI,2022.04.18 CBA LI LH727.pdf,2022,CBA
132,CBA,LI,2022.04.18 CBA LI PARAMETROS.jpg,2022,CBA
133,CBA,LI,2022.05.19 CBA LI LH728.JPG,2022,CBA
134,CBA,VOR,2022.01.19 CBA DME VOR PARAMETROS 11.jpg,2022,CBA
